cancer_type,DGM,PyNBS,DGM_wins
TCGA-BLCA,0.609115668428036,0.5520612677203846,True
TCGA-BRCA,0.5663904567471278,0.5987750690524799,False
TCGA-CESC,0.5962484624846248,0.5656006560065601,True
TCGA-COAD,0.6072111909519963,0.6020664143883668,True
TCGA-GBM,0.573342051556401,0.5581644177613981,True
TCGA-HNSC,0.5572335627818656,0.544846309043437,True
TCGA-KIRC,0.6166927827449534,0.6190432297907641,False
TCGA-KIRP,0.6298820009971746,0.6037892637527007,True
TCGA-LGG,0.7093049243835208,0.8042911420695821,False
TCGA-LIHC,0.5992777095200864,0.565285379202502,True
TCGA-LUAD,0.561795147452518,0.5399144164084403,True
TCGA-LUSC,0.5785522081929887,0.5709877123986226,True
TCGA-OV,0.5748465976737797,0.5745718472387581,True
TCGA-SKCM,0.6257254186702039,0.6048748134637705,True
TCGA-STAD,0.5848819441021343,0.5765268398481787,True
TCGA-UCEC,0.6200118647419418,0.5988135258058137,True
